timestamp,ev_kw,lag_1,lag_4,lag_96,lag_672,roll_1h_mean,roll_6h_mean,roll_24h_mean,shortwave_radiation,direct_radiation,diffuse_radiation,cloud_cover,temperature_2m,wind_speed_10m,tod_sin,tod_cos,doy_sin,doy_cos,dow_sin,dow_cos,is_weekend
2017-06-28 21:15:00+00:00,0.0,0.0,0.0,0.0,0.0,0.8889499999999996,1.2013666666666667,0.7784541666666666,0.75,0.0,0.75,100.0,12.925,14.95,-0.6593458151000687,0.7518398074789775,0.062318379354325076,-0.998056320853012,0.9749279121818236,-0.22252093395631434,0.0
2017-06-28 21:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.8889499999999996,1.2013666666666667,0.7784541666666666,0.5,0.0,0.5,100.0,12.85,14.7,-0.608761429008721,0.7933533402912349,0.062318379354325076,-0.998056320853012,0.9749279121818236,-0.22252093395631434,0.0
2017-06-28 21:45:00+00:00,0.0,0.0,3.5558,0.0,0.0,0.0,1.2013666666666667,0.7784541666666666,0.25,0.0,0.25,100.0,12.775,14.45,-0.5555702330196022,0.8314696123025452,0.062318379354325076,-0.998056320853012,0.9749279121818236,-0.22252093395631434,0.0
2017-06-28 22:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.8989166666666666,0.7784541666666666,0.0,0.0,0.0,100.0,12.7,14.2,-0.5000000000000004,0.8660254037844384,0.062318379354325076,-0.998056320853012,0.9749279121818236,-0.22252093395631434,0.0
2017-06-28 22:15:00+00:00,3.565,0.0,0.0,0.0,0.0,0.8912499999999995,0.743475,0.8155895833333333,0.0,0.0,0.0,100.0,12.675,13.825,-0.4422886902190014,0.8968727415326883,0.062318379354325076,-0.998056320853012,0.9749279121818236,-0.22252093395631434,0.0
2017-06-28 22:30:00+00:00,0.0,3.565,0.0,0.0,0.0,0.8912499999999995,0.44102500000000006,0.8155895833333333,0.0,0.0,0.0,100.0,12.65,13.45,-0.38268343236508956,0.9238795325112868,0.062318379354325076,-0.998056320853012,0.9749279121818236,-0.22252093395631434,0.0
2017-06-28 22:45:00+00:00,0.0,0.0,0.0,0.0,0.0,0.8912499999999995,0.44102500000000006,0.8155895833333333,0.0,0.0,0.0,100.0,12.625,13.075,-0.32143946530316186,0.9469301294951056,0.062318379354325076,-0.998056320853012,0.9749279121818236,-0.22252093395631434,0.0
2017-06-28 23:00:00+00:00,0.0,0.0,0.0,3.5742,0.0,0.8912499999999995,0.44102500000000006,0.7783583333333334,0.0,0.0,0.0,100.0,12.6,12.7,-0.2588190451025207,0.9659258262890683,0.062318379354325076,-0.998056320853012,0.9749279121818236,-0.22252093395631434,0.0
2017-06-28 23:15:00+00:00,0.0,0.0,3.565,3.5696,0.0,0.0,0.44102500000000006,0.741175,0.0,0.0,0.0,100.0,12.625,11.625,-0.19509032201612872,0.9807852804032303,0.062318379354325076,-0.998056320853012,0.9749279121818236,-0.22252093395631434,0.0
2017-06-28 23:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.31548333333333334,0.741175,0.0,0.0,0.0,100.0,12.65,10.55,-0.13052619222005168,0.9914448613738104,0.062318379354325076,-0.998056320853012,0.9749279121818236,-0.22252093395631434,0.0
2017-06-28 23:45:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.2967,0.741175,0.0,0.0,0.0,100.0,12.675,9.475,-0.06540312923014367,0.9978589232386035,0.062318379354325076,-0.998056320853012,0.9749279121818236,-0.22252093395631434,0.0
2017-06-29 00:00:00+00:00,0.0,0.0,0.0,3.243,0.0,0.0,0.2967,0.70739375,0.0,0.0,0.0,100.0,12.7,8.4,0.0,1.0,0.04514101777397193,-0.9989806246941579,0.43388373911755823,-0.900968867902419,0.0
2017-06-29 00:15:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.2967,0.70739375,0.0,0.0,0.0,100.0,12.6,9.325,0.06540312923014306,0.9978589232386035,0.04514101777397193,-0.9989806246941579,0.43388373911755823,-0.900968867902419,0.0
2017-06-29 00:30:00+00:00,0.0,0.0,0.0,1.2006,0.0,0.0,0.2967,0.6948875000000001,0.0,0.0,0.0,100.0,12.5,10.25,0.13052619222005157,0.9914448613738104,0.04514101777397193,-0.9989806246941579,0.43388373911755823,-0.900968867902419,0.0
2017-06-29 00:45:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.2967,0.6948875000000001,0.0,0.0,0.0,100.0,12.4,11.175,0.19509032201612825,0.9807852804032304,0.04514101777397193,-0.9989806246941579,0.43388373911755823,-0.900968867902419,0.0
2017-06-29 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.2967,0.6948875000000001,0.0,0.0,0.0,100.0,12.3,12.1,0.25881904510252074,0.9659258262890683,0.04514101777397193,-0.9989806246941579,0.43388373911755823,-0.900968867902419,0.0
2017-06-29 01:15:00+00:00,0.0,0.0,0.0,0.1242,0.0,0.0,0.2967,0.6935937500000001,0.0,0.0,0.0,100.0,12.1,12.15,0.3214394653031616,0.9469301294951057,0.04514101777397193,-0.9989806246941579,0.43388373911755823,-0.900968867902419,0.0
2017-06-29 01:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.2967,0.6935937500000001,0.0,0.0,0.0,100.0,11.9,12.2,0.3826834323650898,0.9238795325112867,0.04514101777397193,-0.9989806246941579,0.43388373911755823,-0.900968867902419,0.0
2017-06-29 01:45:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.2967,0.6935937500000001,0.0,0.0,0.0,100.0,11.7,12.25,0.4422886902190013,0.8968727415326883,0.04514101777397193,-0.9989806246941579,0.43388373911755823,-0.900968867902419,0.0
2017-06-29 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.2967,0.6935937500000001,0.0,0.0,0.0,100.0,11.5,12.3,0.49999999999999994,0.8660254037844387,0.04514101777397193,-0.9989806246941579,0.43388373911755823,-0.900968867902419,0.0
2017-06-29 02:15:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.2967,0.6935937500000001,0.0,0.0,0.0,100.0,11.425,12.075,0.5555702330196022,0.8314696123025452,0.04514101777397193,-0.9989806246941579,0.43388373911755823,-0.900968867902419,0.0
2017-06-29 02:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.2967,0.6935937500000001,0.0,0.0,0.0,100.0,11.35,11.85,0.6087614290087207,0.7933533402912352,0.04514101777397193,-0.9989806246941579,0.43388373911755823,-0.900968867902419,0.0
2017-06-29 02:45:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.14854166666666666,0.6935937500000001,0.0,0.0,0.0,100.0,11.275,11.625,0.6593458151000688,0.7518398074789774,0.04514101777397193,-0.9989806246941579,0.43388373911755823,-0.900968867902419,0.0
2017-06-29 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.14854166666666666,0.6935937500000001,0.0,0.0,0.0,100.0,11.2,11.4,0.7071067811865476,0.7071067811865476,0.04514101777397193,-0.9989806246941579,0.43388373911755823,-0.900968867902419,0.0
2017-06-29 03:15:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.14854166666666666,0.6935937500000001,0.0,0.0,0.0,100.0,11.2,10.925,0.7518398074789773,0.659345815100069,0.04514101777397193,-0.9989806246941579,0.43388373911755823,-0.900968867902419,0.0
2017-06-29 03:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.14854166666666666,0.6935937500000001,0.0,0.0,0.0,100.0,11.2,10.45,0.7933533402912352,0.6087614290087207,0.04514101777397193,-0.9989806246941579,0.43388373911755823,-0.900968867902419,0.0
2017-06-29 03:45:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.14854166666666666,0.6935937500000001,0.0,0.0,0.0,100.0,11.2,9.975,0.8314696123025452,0.5555702330196023,0.04514101777397193,-0.9989806246941579,0.43388373911755823,-0.900968867902419,0.0
2017-06-29 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.14854166666666666,0.6935937500000001,0.0,0.0,0.0,100.0,11.2,9.5,0.8660254037844386,0.5000000000000001,0.04514101777397193,-0.9989806246941579,0.43388373911755823,-0.900968867902419,0.0
2017-06-29 04:15:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6935937500000001,1.75,0.0,1.75,100.0,11.225,8.925,0.8968727415326884,0.44228869021900125,0.04514101777397193,-0.9989806246941579,0.43388373911755823,-0.900968867902419,0.0
2017-06-29 04:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6935937500000001,3.5,0.0,3.5,100.0,11.25,8.35,0.9238795325112867,0.38268343236508984,0.04514101777397193,-0.9989806246941579,0.43388373911755823,-0.900968867902419,0.0
2017-06-29 04:45:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6935937500000001,5.25,0.0,5.25,100.0,11.275,7.775,0.9469301294951057,0.3214394653031615,0.04514101777397193,-0.9989806246941579,0.43388373911755823,-0.900968867902419,0.0
2017-06-29 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6935937500000001,7.0,0.0,7.0,100.0,11.3,7.2,0.9659258262890683,0.25881904510252074,0.04514101777397193,-0.9989806246941579,0.43388373911755823,-0.900968867902419,0.0
2017-06-29 05:15:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6935937500000001,12.0,0.0,12.0,100.0,11.4,7.175,0.9807852804032304,0.19509032201612833,0.04514101777397193,-0.9989806246941579,0.43388373911755823,-0.900968867902419,0.0
2017-06-29 05:30:00+00:00,0.0,0.0,0.0,7.038,0.0,0.0,0.0,0.62028125,17.0,0.0,17.0,100.0,11.5,7.15,0.9914448613738104,0.1305261922200517,0.04514101777397193,-0.9989806246941579,0.43388373911755823,-0.900968867902419,0.0
2017-06-29 05:45:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62028125,22.0,0.0,22.0,100.0,11.6,7.125,0.9978589232386035,0.06540312923014305,0.04514101777397193,-0.9989806246941579,0.43388373911755823,-0.900968867902419,0.0
2017-06-29 06:00:00+00:00,0.0,0.0,0.0,6.762,0.0,0.0,0.0,0.54984375,27.0,0.0,27.0,100.0,11.7,7.1,1.0,6.123233995736766e-17,0.04514101777397193,-0.9989806246941579,0.43388373911755823,-0.900968867902419,0.0
2017-06-29 06:15:00+00:00,0.0,0.0,0.0,7.0886000000000005,0.0,0.0,0.0,0.4760041666666666,47.5,5.5,42.0,98.75,11.9,7.375,0.9978589232386035,-0.06540312923014292,0.04514101777397193,-0.9989806246941579,0.43388373911755823,-0.900968867902419,0.0
2017-06-29 06:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4760041666666666,68.0,11.0,57.0,97.5,12.1,7.649999999999999,0.9914448613738105,-0.13052619222005138,0.04514101777397193,-0.9989806246941579,0.43388373911755823,-0.900968867902419,0.0
2017-06-29 06:45:00+00:00,0.0,0.0,0.0,7.4474,0.0,0.0,0.0,0.39842708333333327,88.5,16.5,72.0,96.25,12.3,7.924999999999999,0.9807852804032305,-0.19509032201612797,0.04514101777397193,-0.9989806246941579,0.43388373911755823,-0.900968867902419,0.0
2017-06-29 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39842708333333327,109.0,22.0,87.0,95.0,12.5,8.2,0.9659258262890683,-0.25881904510252085,0.04514101777397193,-0.9989806246941579,0.43388373911755823,-0.900968867902419,0.0
