pair,layer,idx,n_params,enrich10,cos_F_absG,cos_F_absG_null,cos_F_absG_z,cos_gS_gT,fisher_mass,gT_mass
EV_LU2UK,kernel,0,6720,4.024498402452398,0.30159685015678406,0.0657634799554944,18.993442505183836,0.28965431451797485,0.030337657779455185,0.01392577774822712
EV_LU2UK,bias,1,64,4.105558122907366,0.676684558391571,0.1838167230039835,5.163015761268601,0.6920587420463562,0.0018584935460239649,0.0004700720601249486
EV_LU2UK,kernel,2,20480,7.775344252586365,0.3005012571811676,0.019063603784888982,41.75138879414329,0.28851333260536194,0.05603189766407013,0.01498577743768692
EV_LU2UK,bias,3,64,4.97045407976423,0.69383305311203,0.10798170546739129,5.650167048879192,0.7647931575775146,0.007569554261863232,0.0004684475716203451
EV_LU2UK,kernel,4,16384,9.040857730514032,0.38536298274993896,0.008917306077200919,49.056455104377555,0.17972686886787415,0.006206371821463108,0.002639506012201309
EV_LU2UK,recurrent_kernel,5,16384,4.469243941618365,0.45208507776260376,0.09497466184198856,47.7051175935174,0.24745899438858032,0.0004480648785829544,0.0029918448999524117
EV_LU2UK,bias,6,256,4.334130213810847,0.6382852792739868,0.12694225745275617,8.394071763638841,0.46084079146385193,0.009809870272874832,0.0019483837531879544
EV_LU2UK,kernel,7,1280,2.0851171016693115,0.23774594068527222,0.0800994005985558,6.138901072767929,0.22336041927337646,0.025670811533927917,0.010182555764913559
EV_LU2UK,bias,8,64,2.7685794830322266,0.5766366720199585,0.20431567769497633,3.138511340805275,0.448989599943161,0.0077440170571208,0.0016930762212723494
EV_LU2UK,kernel,9,16384,0.44958812627507244,0.010164627805352211,0.04973389077931643,-5.721313210495541,0.026341823861002922,0.0021164952777326107,0.009404614567756653
EV_LU2UK,bias,10,128,0.25750134541438174,0.2789529263973236,0.2696977706253529,0.14122202877387247,0.0832144096493721,0.004910867661237717,0.0024015516974031925
EV_LU2UK,kernel,11,128,0.5328670281630296,0.08151213824748993,0.13945423167198898,-0.940869450884254,-0.01293523982167244,0.0016660697292536497,0.0009733001934364438
EV_LU2UK,bias,12,1,,1.0,,,-1.0,0.015894824638962746,0.0013493872247636318
