seed,S_s_raw,S_t_raw,S_t_norm,A,R,AR,M_raw,M_norm
0,1.3589529099927626e-06,1.0773645620528127e-08,9.678608855335587e-07,4.497985432038412,0.33938139941012935,1.5265325904515716,4.837366831448541,0.33938139941012935
1,1.1845215462468178e-06,1.1028949296803616e-08,7.899372044252996e-07,4.271429884180476,0.40514075936286,1.730530346842091,4.676570643543336,0.40514075936286
2,1.613400518734834e-06,1.2166994176853019e-08,1.0203675353714943e-06,4.429191279967579,0.45818118384832296,2.0293721041462143,4.887372463815902,0.45818118384832296
