rep,cond,dist_W,nrmse_mean,nrmse_std,rmse_kw_mean,seeds
log,B0,0.6189,19.4922,28.1481,13.078,20.6871;89.8652;28.0841;2.3061;1.6943;3.8194;1.7470;7.7345
log,B3,0.6189,0.6611,0.0645,0.444,0.6884;0.6233;0.7078;0.7269;0.7626;0.5900;0.6101;0.5795
revin,B0,0.1124,1.3993,0.4489,0.939,1.5341;2.3046;1.7330;1.5794;0.9599;1.0903;1.0910;0.9021
revin,B3,0.1124,0.6445,0.0185,0.432,0.6469;0.6385;0.6828;0.6381;0.6179;0.6371;0.6616;0.6329
clear_sky,B0,0.0338,1.3724,0.3066,0.921,1.0520;1.1486;1.3546;1.7013;1.6712;1.4940;1.7083;0.8489
clear_sky,B3,0.0338,0.409,0.0132,0.274,0.4309;0.3982;0.4235;0.3983;0.4035;0.3938;0.4018;0.4219
