run_id,baseline,n_days,lambda_ewc,beta_replay,seed,target_nrmse,target_rmse_kw,target_mean_kw,source_retention_nrmse,below_threshold,threshold,epochs,batch_size,lr,wall_clock_s,timestamp,notes
,B5,30,0.0,1.0,3,0.143564,,,0.222167,,,10,64,0.0001,,2026-09-08T17:24:02.089137+00:00,B5_replay
,V1,30,1.0,0.0,3,0.11891,,,0.192531,,,10,64,0.0001,,2026-09-08T17:25:30.766686+00:00,V1_empFisher_l1
,V1,30,10.0,0.0,3,0.12738,,,0.188437,,,10,64,0.0001,,2026-09-08T17:27:09.849118+00:00,V1_empFisher_l10
,V1,30,100.0,0.0,3,0.144721,,,0.196129,,,10,64,0.0001,,2026-09-08T17:28:49.130063+00:00,V1_empFisher_l100
,V2,30,1.0,0.0,3,0.113031,,,0.194876,,,10,64,0.0001,,2026-09-08T17:30:28.078554+00:00,V2_perlayer_l1
,V2,30,10.0,0.0,3,0.122469,,,0.197484,,,10,64,0.0001,,2026-09-08T17:31:56.781271+00:00,V2_perlayer_l10
,V2,30,100.0,0.0,3,0.127691,,,0.197111,,,10,64,0.0001,,2026-09-08T17:33:26.910323+00:00,V2_perlayer_l100
,V3,30,10.0,1.0,3,0.146387,,,0.203922,,,10,64,0.0001,,2026-09-08T17:35:52.553830+00:00,V3_hybrid
,MAS,30,,,3,0.137052,,,0.192583,,,10,64,0.0001,,2026-09-08T17:37:18.129537+00:00,MAS
,LwF,30,,,3,0.16361,,,0.274769,,,10,64,0.0001,,2026-09-08T17:40:26.107456+00:00,LwF
,DERpp,30,,,3,0.166561,,,0.245204,,,10,64,0.0001,,2026-09-08T17:44:16.615163+00:00,DERpp
,AGEM,30,,,3,0.136173,,,0.231087,,,10,64,0.0001,,2026-09-08T17:46:18.145791+00:00,AGEM
,B3,30,0.0,0.0,4,0.118978,,,0.231159,,,10,64,0.0001,,2026-09-08T17:47:32.162310+00:00,B3_warm
,B5,30,0.0,1.0,4,0.123799,,,0.186913,,,10,64,0.0001,,2026-09-08T17:49:39.770008+00:00,B5_replay
,V1,30,1.0,0.0,4,0.122141,,,0.199128,,,10,64,0.0001,,2026-09-08T17:51:21.444805+00:00,V1_empFisher_l1
,V1,30,10.0,0.0,4,0.136406,,,0.195776,,,10,64,0.0001,,2026-09-08T17:53:06.919213+00:00,V1_empFisher_l10
,V1,30,100.0,0.0,4,0.144654,,,0.197727,,,10,64,0.0001,,2026-09-08T17:54:59.662344+00:00,V1_empFisher_l100
,V2,30,1.0,0.0,4,0.119514,,,0.200354,,,10,64,0.0001,,2026-09-08T17:56:37.308221+00:00,V2_perlayer_l1
,V2,30,10.0,0.0,4,0.127139,,,0.20066,,,10,64,0.0001,,2026-09-08T17:58:25.286405+00:00,V2_perlayer_l10
,V2,30,100.0,0.0,4,0.133183,,,0.198896,,,10,64,0.0001,,2026-09-08T18:00:23.260744+00:00,V2_perlayer_l100
,V3,30,10.0,1.0,4,0.136744,,,0.192983,,,10,64,0.0001,,2026-09-08T18:03:38.091479+00:00,V3_hybrid
,MAS,30,,,4,0.137417,,,0.192508,,,10,64,0.0001,,2026-09-08T18:05:34.446402+00:00,MAS
,LwF,30,,,4,0.16661,,,0.273845,,,10,64,0.0001,,2026-09-08T18:08:06.913569+00:00,LwF
,DERpp,30,,,4,0.139978,,,0.22277,,,10,64,0.0001,,2026-09-08T18:09:41.923747+00:00,DERpp
,AGEM,30,,,4,0.118091,,,0.21497,,,10,64,0.0001,,2026-09-08T18:10:47.834551+00:00,AGEM
,B3,30,0.0,0.0,5,0.117384,,,0.236191,,,10,64,0.0001,,2026-09-08T18:11:36.953606+00:00,B3_warm
,B5,30,0.0,1.0,5,0.13517,,,0.201614,,,10,64,0.0001,,2026-09-08T18:12:49.337634+00:00,B5_replay
,V1,30,1.0,0.0,5,0.121381,,,0.202591,,,10,64,0.0001,,2026-09-08T18:13:36.461637+00:00,V1_empFisher_l1
