run_id,baseline,n_days,lambda_ewc,beta_replay,seed,target_nrmse,target_rmse_kw,target_mean_kw,source_retention_nrmse,below_threshold,threshold,epochs,batch_size,lr,wall_clock_s,timestamp,notes
,B5,30,0.0,1.0,3,0.36147,,,0.55513,,,10,64,0.0001,,2026-09-10T10:20:14.161842+00:00,B5_replay
,V1,30,1.0,0.0,3,0.444527,,,0.658349,,,10,64,0.0001,,2026-09-10T10:21:20.490890+00:00,V1_empFisher_l1
,V1,30,10.0,0.0,3,0.461987,,,0.681381,,,10,64,0.0001,,2026-09-10T10:22:27.035532+00:00,V1_empFisher_l10
,V1,30,100.0,0.0,3,0.467378,,,0.712831,,,10,64,0.0001,,2026-09-10T10:23:37.713155+00:00,V1_empFisher_l100
,V2,30,1.0,0.0,3,0.412173,,,0.685338,,,10,64,0.0001,,2026-09-10T10:24:38.285949+00:00,V2_perlayer_l1
,V2,30,10.0,0.0,3,0.434295,,,0.680452,,,10,64,0.0001,,2026-09-10T11:16:28.893473+00:00,V2_perlayer_l10
,V2,30,100.0,0.0,3,0.463454,,,0.699955,,,10,64,0.0001,,2026-09-10T11:17:22.086394+00:00,V2_perlayer_l100
,V3,30,10.0,1.0,3,0.332159,,,0.56685,,,10,64,0.0001,,2026-09-10T11:18:48.683959+00:00,V3_hybrid
,MAS,30,,,3,0.503847,,,0.736545,,,10,64,0.0001,,2026-09-10T11:19:41.868059+00:00,MAS
,LwF,30,,,3,0.432567,,,0.774358,,,10,64,0.0001,,2026-09-10T11:21:14.092637+00:00,LwF
,DERpp,30,,,3,0.348364,,,0.574002,,,10,64,0.0001,,2026-09-10T11:23:15.749669+00:00,DERpp
,AGEM,30,,,3,0.373091,,,0.56199,,,10,64,0.0001,,2026-09-10T11:24:35.045298+00:00,AGEM
,B3,30,0.0,0.0,4,0.418548,,,0.617274,,,10,64,0.0001,,2026-09-10T11:25:23.716660+00:00,B3_warm
,B5,30,0.0,1.0,4,0.323767,,,0.542191,,,10,64,0.0001,,2026-09-10T11:26:43.517430+00:00,B5_replay
,V1,30,1.0,0.0,4,0.462001,,,0.645527,,,10,64,0.0001,,2026-09-10T11:27:53.799087+00:00,V1_empFisher_l1
,V1,30,10.0,0.0,4,0.472988,,,0.697886,,,10,64,0.0001,,2026-09-10T11:29:03.696492+00:00,V1_empFisher_l10
,V1,30,100.0,0.0,4,0.480952,,,0.717327,,,10,64,0.0001,,2026-09-10T11:30:11.640142+00:00,V1_empFisher_l100
