strategy,alpha,ret_mid,ret_all,plast
naive,,7.039903333333333,4.420378333333334,8.53906
osr,,9.681193333333333,6.193811666666666,9.36602
replay,,-1.3935766666666667,-0.9046683333333332,13.824859999999997
replay_osr,,-1.7654966666666667,-1.29771,13.036259999999999
oracle_alpha0,0.0,3.88064,,10.82816
oracle_alpha0.5,0.5,-0.20151000000000058,,11.288499999999999
oracle_alpha1,1.0,-0.6715866666666673,,11.288499999999999
oracle_alpha2,2.0,-0.7425600000000006,,11.288499999999999
oracle_alpha1000,1000.0,-0.8218933333333339,,12.59154
