run_id,baseline,n_days,lambda_ewc,beta_replay,seed,target_nrmse,target_rmse_kw,target_mean_kw,source_retention_nrmse,below_threshold,threshold,epochs,batch_size,lr,wall_clock_s,timestamp,notes
,B0,1,0.0,0.0,0,1.63146,37.5787,23.0338,,0,0.5,10,64,0.0001,609.7,2026-08-03T11:35:04.586394+00:00,
,B3,1,0.0,0.0,0,0.880351,20.2778,23.0338,,0,0.5,10,64,0.0001,5.2,2026-08-03T11:35:09.836933+00:00,
,B4,1,100.0,0.0,0,0.880063,20.2712,23.0338,,0,0.5,10,64,0.0001,5.9,2026-08-03T11:35:15.737752+00:00,
,B0,7,0.0,0.0,0,1.170751,26.9668,23.0338,,0,0.5,10,64,0.0001,25.2,2026-08-03T11:35:40.952617+00:00,
,B3,7,0.0,0.0,0,0.935377,21.5452,23.0338,,0,0.5,10,64,0.0001,24.2,2026-08-03T11:36:05.125517+00:00,
,B4,7,100.0,0.0,0,0.936581,21.573,23.0338,,0,0.5,10,64,0.0001,27.4,2026-08-03T11:36:32.535389+00:00,
,B0,30,0.0,0.0,0,0.864538,19.9136,23.0338,,0,0.5,10,64,0.0001,106.3,2026-08-03T11:38:18.864451+00:00,
,B3,30,0.0,0.0,0,0.538582,12.4056,23.0338,,0,0.5,10,64,0.0001,118.3,2026-08-03T11:40:17.204675+00:00,
,B4,30,100.0,0.0,0,0.543993,12.5302,23.0338,,0,0.5,10,64,0.0001,124.1,2026-08-03T11:42:21.345232+00:00,
,B0,60,0.0,0.0,0,0.925593,21.3199,23.0338,,0,0.5,10,64,0.0001,252.9,2026-08-03T11:46:34.235039+00:00,
,B3,60,0.0,0.0,0,0.524403,12.079,23.0338,,0,0.5,10,64,0.0001,238.4,2026-08-03T11:50:32.649504+00:00,
,B4,60,100.0,0.0,0,0.524705,12.0859,23.0338,,0,0.5,10,64,0.0001,233.1,2026-08-03T11:54:25.799123+00:00,
,B0,90,0.0,0.0,0,0.859055,19.7873,23.0338,,0,0.5,10,64,0.0001,361.5,2026-08-03T12:00:27.344151+00:00,
,B3,90,0.0,0.0,0,0.542402,12.4936,23.0338,,0,0.5,10,64,0.0001,345.9,2026-08-03T12:06:13.246157+00:00,
,B4,90,100.0,0.0,0,0.537883,12.3895,23.0338,,0,0.5,10,64,0.0001,368.3,2026-08-03T12:12:21.574927+00:00,
,B0,1,0.0,0.0,1,1.308442,30.1383,23.0338,,0,0.5,10,64,0.0001,5.5,2026-08-03T12:12:27.134192+00:00,
,B3,1,0.0,0.0,1,0.950543,21.8946,23.0338,,0,0.5,10,64,0.0001,5.2,2026-08-03T12:12:32.400611+00:00,
,B4,1,100.0,0.0,1,0.950564,21.8951,23.0338,,0,0.5,10,64,0.0001,5.1,2026-08-03T12:12:37.478179+00:00,
,B0,7,0.0,0.0,1,1.293951,29.8045,23.0338,,0,0.5,10,64,0.0001,28.8,2026-08-03T12:13:06.270576+00:00,
,B3,7,0.0,0.0,1,0.916103,21.1013,23.0338,,0,0.5,10,64,0.0001,28.6,2026-08-03T12:13:34.891753+00:00,
,B4,7,100.0,0.0,1,0.915661,21.0911,23.0338,,0,0.5,10,64,0.0001,33.7,2026-08-03T12:14:08.637986+00:00,
,B0,30,0.0,0.0,1,0.949504,21.8706,23.0338,,0,0.5,10,64,0.0001,143.3,2026-08-03T12:16:32.007444+00:00,
,B3,30,0.0,0.0,1,0.530996,12.2308,23.0338,,0,0.5,10,64,0.0001,117.1,2026-08-03T12:18:29.097175+00:00,
,B4,30,100.0,0.0,1,0.532675,12.2695,23.0338,,0,0.5,10,64,0.0001,122.5,2026-08-03T12:20:31.614240+00:00,
,B0,60,0.0,0.0,1,1.085854,25.0113,23.0338,,0,0.5,10,64,0.0001,253.0,2026-08-03T12:24:44.674242+00:00,
,B3,60,0.0,0.0,1,0.536402,12.3553,23.0338,,0,0.5,10,64,0.0001,232.0,2026-08-03T12:28:36.713929+00:00,
,B4,60,100.0,0.0,1,0.546597,12.5902,23.0338,,0,0.5,10,64,0.0001,241.9,2026-08-03T12:32:38.653889+00:00,
,B0,90,0.0,0.0,1,1.07271,24.7085,23.0338,,0,0.5,10,64,0.0001,343.3,2026-08-03T12:38:22.005297+00:00,
,B3,90,0.0,0.0,1,0.538996,12.4151,23.0338,,0,0.5,10,64,0.0001,343.4,2026-08-03T12:44:05.437150+00:00,
,B4,90,100.0,0.0,1,0.538324,12.3996,23.0338,,0,0.5,10,64,0.0001,364.9,2026-08-03T12:50:10.366996+00:00,
,B0,1,0.0,0.0,2,1.665697,38.3673,23.0338,,0,0.5,10,64,0.0001,6.0,2026-08-03T12:50:16.385952+00:00,
,B3,1,0.0,0.0,2,0.886145,20.4113,23.0338,,0,0.5,10,64,0.0001,4.6,2026-08-03T12:50:20.992042+00:00,
,B4,1,100.0,0.0,2,0.886198,20.4125,23.0338,,0,0.5,10,64,0.0001,5.5,2026-08-03T12:50:26.538929+00:00,
,B0,7,0.0,0.0,2,1.317654,30.3505,23.0338,,0,0.5,10,64,0.0001,33.2,2026-08-03T12:50:59.789620+00:00,
,B3,7,0.0,0.0,2,0.908857,20.9344,23.0338,,0,0.5,10,64,0.0001,31.3,2026-08-03T12:51:31.145522+00:00,
,B4,7,100.0,0.0,2,0.906274,20.8749,23.0338,,0,0.5,10,64,0.0001,29.0,2026-08-03T12:52:00.182182+00:00,
,B0,30,0.0,0.0,2,0.935151,21.54,23.0338,,0,0.5,10,64,0.0001,121.5,2026-08-03T12:54:01.723801+00:00,
,B3,30,0.0,0.0,2,0.504552,11.6217,23.0338,,0,0.5,10,64,0.0001,115.2,2026-08-03T12:55:56.912253+00:00,
,B4,30,100.0,0.0,2,0.505971,11.6544,23.0338,,0,0.5,10,64,0.0001,126.4,2026-08-03T12:58:03.396226+00:00,
,B0,60,0.0,0.0,2,1.117713,25.7451,23.0338,,0,0.5,10,64,0.0001,259.2,2026-08-03T13:02:22.611003+00:00,
,B3,60,0.0,0.0,2,0.566775,13.055,23.0338,,0,0.5,10,64,0.0001,223.9,2026-08-03T13:06:06.533362+00:00,
,B4,60,100.0,0.0,2,0.574792,13.2396,23.0338,,0,0.5,10,64,0.0001,251.2,2026-08-03T13:10:17.736927+00:00,
