timestamp,pv_kw,shortwave_radiation,direct_radiation,diffuse_radiation,cloud_cover,temperature_2m,wind_speed_10m,tod_sin,tod_cos,doy_sin,doy_cos
2023-10-11 22:00:00,0.0,0.0,0.0,0.0,100.0,16.8,13.2,-0.5000000000000004,0.8660254037844384,-0.9850556718215013,0.172236243027682
2023-10-11 22:15:00,0.0,0.0,0.0,0.0,98.75,16.7,13.149999999999999,-0.4422886902190014,0.8968727415326883,-0.9850556718215013,0.172236243027682
2023-10-11 22:30:00,0.0,0.0,0.0,0.0,97.5,16.6,13.1,-0.38268343236508956,0.9238795325112868,-0.9850556718215013,0.172236243027682
2023-10-11 22:45:00,0.0,0.0,0.0,0.0,96.25,16.5,13.05,-0.32143946530316186,0.9469301294951056,-0.9850556718215013,0.172236243027682
2023-10-11 23:00:00,0.0,0.0,0.0,0.0,95.0,16.4,13.0,-0.2588190451025207,0.9659258262890683,-0.9850556718215013,0.172236243027682
2023-10-11 23:15:00,0.0,0.0,0.0,0.0,94.25,16.575,12.6,-0.19509032201612872,0.9807852804032303,-0.9850556718215013,0.172236243027682
2023-10-11 23:30:00,0.0,0.0,0.0,0.0,93.5,16.75,12.2,-0.13052619222005168,0.9914448613738104,-0.9850556718215013,0.172236243027682
2023-10-11 23:45:00,0.0,0.0,0.0,0.0,92.75,16.925,11.8,-0.06540312923014367,0.9978589232386035,-0.9850556718215013,0.172236243027682
2023-10-12 00:00:00,0.0,0.0,0.0,0.0,92.0,17.1,11.4,0.0,1.0,-0.981947190186646,0.18915526872004093
2023-10-12 00:15:00,0.0,0.0,0.0,0.0,92.5,16.875,10.85,0.06540312923014306,0.9978589232386035,-0.981947190186646,0.18915526872004093
2023-10-12 00:30:00,0.0,0.0,0.0,0.0,93.0,16.65,10.3,0.13052619222005157,0.9914448613738104,-0.981947190186646,0.18915526872004093
2023-10-12 00:45:00,0.0,0.0,0.0,0.0,93.5,16.425,9.75,0.19509032201612825,0.9807852804032304,-0.981947190186646,0.18915526872004093
2023-10-12 01:00:00,0.0,0.0,0.0,0.0,94.0,16.2,9.2,0.25881904510252074,0.9659258262890683,-0.981947190186646,0.18915526872004093
2023-10-12 01:15:00,0.0,0.0,0.0,0.0,95.5,15.924999999999999,8.975,0.3214394653031616,0.9469301294951057,-0.981947190186646,0.18915526872004093
2023-10-12 01:30:00,0.0,0.0,0.0,0.0,97.0,15.649999999999999,8.75,0.3826834323650898,0.9238795325112867,-0.981947190186646,0.18915526872004093
