arm,source_nrmse,source_gauged,gauge_a,persistence_nrmse,corr,bias_kw,target_zeroshot
leaky,0.5476,0.3983,1.3864,0.9972,0.9583,-15.16,0.7046
causal,1.2542,1.2584,1.1392,0.9972,0.4584,-17.96,0.7643
